title,year,risk_score,risk_level,main_reasons,current_institutions,current_countries,current_institution_authors,raw_affiliation_evidence,review_action,notes
Deep Learning for Deepfakes Creation and Detection: A Survey,2020,25,medium,At least one affiliation has low-confidence or review-required resolution,Deakin University,AU,Deakin University: Thanh Thi Nguyen,Thanh Thi Nguyen: Deakin University,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Deepfake DEEPFAKE AND AI-GENERATED IMAGE DETECTION SYSTEM,2025,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
"Deepfake Detection Using Deep Learning: A Unified Forensic Approach to Detect AI-Generated Images and Videos with Fusion of Eye, Nose, and Mouth Landmarks",2025,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Detecting AI-Generated Images via CLIP,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,Carnegie Institution for Science | Haemonetics (United States),US,"Carnegie Institution for Science: Alexander Moskowitz, Tyler Gaona | Haemonetics (United States): Jacob Peterson","Alexander Moskowitz: VISIMO, 520 East Main Street, Carnegie, 15106, PA, USA | Tyler Gaona: VISIMO, 520 East Main Street, Carnegie, 15106, PA, USA | Jacob Peterson: Haemonetics Corporation | Haemonetics Corporation, 125 Summer Street, Boston, 02110, MA, USA",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Detecting GAN-generated synthetic images using semantic inconsistencies,2023,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Detecting the Undetectable: Combining Kolmogorov-Arnold Networks and MLP for AI-Generated Image Detection,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
"Detection, Attribution and Localization of GAN Generated Images",2020,25,medium,At least one affiliation has low-confidence or review-required resolution,"University of California, Santa Barbara",US,"University of California, Santa Barbara: Michael Goebel",Michael Goebel: University of California Santa Barbara,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Enhancing Sensing and Imaging Capabilities Through Surface Plasmon Resonance for Deepfake Image Detection,2024,25,medium,"At least one affiliation has low-confidence or review-required resolution | Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Hindustan Institute of Technology and Science | Govind Ballabh Pant University of Agriculture and Technology,IN,"Hindustan Institute of Technology and Science: R Maheshwari, B. Paulchamy | Govind Ballabh Pant University of Agriculture and Technology: Binay Kumar Pandey","R Maheshwari: Research Scholar, Hindusthan Institute of Technology, Coimbatore, India | B. Paulchamy: Department of Electronics and Communication Engineering, Hindusthan Institute of Technology, Coimbatore, India | Binay Kumar Pandey: Department of Information Technology, College of Technology, Govind Ballabh Pant University of Agriculture and Technology Pantnagar, Udham Singh Nagar, Uttarakhand, India | Digvijay Pandey: Department of Technical Education, Kanpur, Uttar Pradesh, India | Review row, B. Paulchamy: Department of Electronics and Communication Engineering, Hindusthan Institute of Technology, Coimbatore, India | Review row, R Maheshwari: Research Scholar, Hindusthan Institute of Technology, Coimbatore, India",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Evasion on general GAN-generated image detection by disentangled representation,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,South China University of Technology,CN,"South China University of Technology: Patrick P. K. Chan, Chuanxin Zhang, Haitao Chen, Jingwen Deng","Patrick P. K. Chan: Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, 511442, China | Chuanxin Zhang: School of Computer Science and Engineering, South China University of Technology, Guangzhou, 510006, China | Haitao Chen: School of Future Technology, South China University of Technology, Guangzhou, 511442, China | Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, 511442, China | Jingwen Deng: School of Future Technology, South China University of Technology, Guangzhou, 511442, China | Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, 511442, China | Xiao Meng: Huya Inc, Guangzhou, 510006, China | Daniel Yeung: Hong Kong, China",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,Federico II University Hospital,IT,"Federico II University Hospital: Vincenzo De Rosa, Fabrizio Guillaro, Giovanni Poggi, Davide Cozzolino, Luisa Verdoliva","Vincenzo De Rosa: University Federico II of Naples,Italy | Fabrizio Guillaro: University Federico II of Naples,Italy | Giovanni Poggi: University Federico II of Naples,Italy | Davide Cozzolino: University Federico II of Naples,Italy | Luisa Verdoliva: University Federico II of Naples,Italy",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Exposing the Fake: Effective Diffusion-Generated Images Detection,2023,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
FingerprintNet: Synthesized Fingerprints for Generated Image Detection,2022,25,medium,At least one affiliation has low-confidence or review-required resolution,Naver (South Korea) | University of Seoul | Samsung (South Korea) | Samsung Pharm (South Korea) | Chung-Ang University,KR,"Naver (South Korea): Yonghyun Jeong | University of Seoul: Youngmin Ro | Samsung (South Korea): Pyounggeon Kim | Samsung Pharm (South Korea): Pyounggeon Kim | Chung-Ang University: Pyounggeon Kim, Jongwon Choi","Yonghyun Jeong: Clova, NAVER, Seongnam-si, South Korea | Doyeon Kim: LINE Plus, Seongnam-si, South Korea | Youngmin Ro: Department of Artificial Intelligence, University of Seoul, Seoul, Korea | Pyounggeon Kim: Samsung SDS, Seongnam-si, South Korea | Pyounggeon Kim: Department of Advanced Imaging, Chung-Ang University, Seoul, Korea | Jongwon Choi: Department of Advanced Imaging, Chung-Ang University, Seoul, Korea",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Fusing Global and Local Features for Generalized AI-Synthesized Image Detection,2022,25,medium,At least one affiliation has low-confidence or review-required resolution,"University at Buffalo, State University of New York",US,"University at Buffalo, State University of New York: Yan Ju, Shan Jia, Lipeng Ke, Hongfei Xue, Siwei Lyu","Yan Ju: University at Buffalo, State University of New York | Shan Jia: University at Buffalo, State University of New York | Lipeng Ke: University at Buffalo, State University of New York | Hongfei Xue: University at Buffalo, State University of New York | Koki Nagano: NVIDIA | Siwei Lyu: University at Buffalo, State University of New York",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
GenImage: A Million-Scale Benchmark for Detecting AI-Generated Image,2023,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Improving Synthetic Image Detection Towards Generalization: An Image Transformation Perspective,2025,25,medium,At least one affiliation has low-confidence or review-required resolution,University of Science and Technology of China,CN,"University of Science and Technology of China: Ouxiang Li, Yanbin Hao, Fuli Feng","Ouxiang Li: University of Science and Technology of China, Hefei, Anhui, China | Jiayin Cai: Xiaohongshu Inc., Beijing, China | Yanbin Hao: University of Science and Technology of China, Hefei, Anhui, China | X.H. Jiang: Xiaohongshu Inc., Beijing, China | Yao Hu: Xiaohongshu Inc., Beijing, China | Fuli Feng: University of Science and Technology of China, Hefei, Anhui, China",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Intriguing properties of synthetic images: from generative adversarial networks to diffusion models,2023,25,medium,At least one affiliation has low-confidence or review-required resolution,Federico II University Hospital,IT,"Federico II University Hospital: Riccardo Corvi, Davide Cozzolino, Giovanni Poggi, Luisa Verdoliva",Riccardo Corvi: University Federico II of Naples | Davide Cozzolino: University Federico II of Naples | Giovanni Poggi: University Federico II of Naples | Koki Nagano: NVIDIA | Luisa Verdoliva: University Federico II of Naples,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
LaRE$^2$: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
